,Engagements,Followers at Posting,Date,Day,Month,Day,Time,Hour,Hour_bucket,Type,Description,unique_word_count,character_count,Tag_Number,Hashtag_Number,Hashtags,Tags
19,,36716811,5/12/2019,Sunday,5,12,21:52,21,8,Photo,For the series! #TissotBuzzerBeater #ThisIsYourTime,19,51,0,2,"['#TissotBuzzerBeater', '#ThisIsYourTime']",[]
20,,36716811,5/12/2019,Sunday,5,12,21:16,21,8,Video,"Kawhi finishes off the drive, plus the foul, on TNT!",22,52,0,0,[],[]
21,,36686842,5/12/2019,Sunday,5,12,18:09,18,7,Video,@3jmccollum stops & pops for the clutch jumper! #NBAonABC,24,57,1,1,['#NBAonABC'],['@3jmccollum']
22,,36655209,5/10/2019,Friday,5,10,23:50,23,8,Video,@stephencurry30 leads the @warriors into their 5th consecutive Western Conference Finals!,27,89,2,0,[],"['@stephencurry30', '@warriors']"
23,,36655209,5/10/2019,Friday,5,10,23:30,23,8,Photo,Congrats to @jharden13 of the @houstonrockets for moving up to 11th on the #NBAPlayoffs 3PM list!,33,97,2,1,['#NBAPlayoffs'],"['@jharden13', '@houstonrockets']"
24,,36655209,5/10/2019,Friday,5,10,23:09,23,8,Video,@cp3 sets up @ccapela15 twice to end the 3rd on ESPN! #NBAPlayoffs,30,66,2,1,['#NBAPlayoffs'],"['@cp3', '@ccapela15']"
25,,36632094,5/10/2019,Friday,5,10,14:01,14,5,Video,"?? JAMES HARDEN: The Origin Story ??
...
??: WARRIORS/ROCKETS Game 6
?: 9:00pm/et
??: ESPN",38,90,0,0,[],[]
26,,36632094,5/9/2019,Thursday,5,9,22:58,22,8,Video,@jimmybutler (25/8) & @bensimmons (21/6) combine for 46 points & 14 assists to lead @sixers in Game 6 victory! #NBAPlayoffs,39,123,3,1,['#NBAPlayoffs'],"['@jimmybutler', '@bensimmons', '@sixers']"
27,,36632094,5/9/2019,Thursday,5,9,21:17,21,8,Video,@jimmybutler sets up @bensimmons for the @sixers SLAM on ESPN!,27,62,3,0,[],"['@jimmybutler', '@bensimmons', '@sixers']"
28,,36632094,5/9/2019,Thursday,5,9,21:06,21,8,Video,@kyle_lowry7ís hustle leads to the Kawhi SLAM on ESPN!,29,54,1,0,[],['@kyle_lowry7ís']
29,,36632094,5/9/2019,Thursday,5,9,21:01,21,8,Video,@bensimmons ?? @biggame_08!,16,27,2,0,[],"['@bensimmons', '@biggame_08!']"
30,,36608321,5/9/2019,Thursday,5,9,14:18,14,5,Photo,Itís WIN or Go Home for the @trailblazers as the @nuggets look to advance to the Western Conference Finals... 10:30pm/et @nbaonespn!,38,132,3,0,[],"['@trailblazers', '@nuggets', '@nbaonespn!']"
31,,36608321,5/8/2019,Wednesday,5,8,22:53,22,8,Photo,The @bucks win series 4-1 vs. @celtics with 116-91 home victory! #NBAPlayoffs,34,77,2,1,['#NBAPlayoffs'],"['@bucks', '@celtics']"
32,,36590040,5/8/2019,Wednesday,5,8,8:02,8,3,Photo,Join us in wishing @_kw15 of the @hornets a HAPPY 29th BIRTHDAY! #NBABDAY,34,73,2,1,['#NBABDAY'],"['@_kw15', '@hornets']"
33,,36590040,5/8/2019,Wednesday,5,8,0:18,0,1,Video,@jmglitxh27 follows up the miss! #NBAPlayoffs,27,45,1,1,['#NBAPlayoffs'],['@jmglitxh27']
34,,36590040,5/7/2019,Tuesday,5,7,23:32,23,8,Video,"@damianlillard side-steps for the 3, plus the foul, on TNT! #NBAPlayoffs",28,72,1,1,['#NBAPlayoffs'],['@damianlillard']
35,,36590040,5/7/2019,Tuesday,5,7,22:43,22,8,Photo,The @raptors take 3-2 series lead over @sixers with 125-89 victory at home! #NBAPlayoffs,35,88,2,1,['#NBAPlayoffs'],"['@raptors', '@sixers']"
36,,36590040,5/7/2019,Tuesday,5,7,21:06,21,8,Video,@kyle_lowry7 gets into the lane for the and-one! (??: @nbaontnt),27,64,2,0,[],"['@kyle_lowry7', '@nbaontnt)']"
37,,36564548,5/7/2019,Tuesday,5,7,1:31,1,1,Photo,The @bucks (3-1) and @houstonrockets (2-2) each WIN in Mondayís #NBAPlayoffs action!,36,84,2,1,['#NBAPlayoffs'],"['@bucks', '@houstonrockets']"
38,,36564548,5/6/2019,Monday,5,6,22:32,22,8,Video,@jharden13 pulls back for the triple on TNT! #NBAPlayoffs,30,57,1,1,['#NBAPlayoffs'],['@jharden13']
39,,36515589,5/5/2019,Sunday,5,5,18:30,18,7,Photo,The @raptors even their series with the @sixers 2-2 on 101-96 victory in Philadelphia! #NBAPlayoffs,33,99,2,1,['#NBAPlayoffs'],"['@raptors', '@sixers']"
40,,36515589,5/5/2019,Sunday,5,5,11:17,11,4,Album,The @sixers and @trailblazers seek commanding 3-1 leads... while the @raptors and @nuggets look to even it up 2-2!,31,114,4,0,[],"['@sixers', '@trailblazers', '@raptors', '@nuggets']"
41,,36515589,5/4/2019,Saturday,5,4,23:50,23,8,Video,@easymoneysniper (46 PTS) & @jharden13 (41 PTS) trade buckets in the 4th & OT in a thrilling Game 3! #NBAPlayoffs,40,113,2,1,['#NBAPlayoffs'],"['@easymoneysniper', '@jharden13']"
42,,36515589,5/4/2019,Saturday,5,4,22:50,22,8,Photo,Congrats to @klaythompson of the @warriors for moving up to 4th on the #NBAPlayoffs 3PM list as we celebrate @budweiserusa #LegendaryMoments,34,140,3,2,"['#NBAPlayoffs', '#LegendaryMoments']","['@klaythompson', '@warriors', '@budweiserusa']"
43,,36490250,5/3/2019,Friday,5,3,21:49,21,8,Video,Poetry in motion... @fchwpo attacks the rim! #PhantomCam,23,56,1,1,['#PhantomCam'],['@fchwpo']
44,,36463902,5/2/2019,Thursday,5,2,22:44,22,8,Photo,The @sixers take 2-1 series lead over @raptors with 116-95 home victory! #NBAPlayoffs,34,85,2,1,['#NBAPlayoffs'],"['@sixers', '@raptors']"
45,,36463902,5/2/2019,Thursday,5,2,22:25,22,8,Video,@jimmybutler gets @theofficialai3 & the crowd ??,24,48,2,0,[],"['@jimmybutler', '@theofficialai3']"
46,,36414852,4/30/2019,Tuesday,4,30,23:56,23,8,Video,@jharden13 steps back for the triple late in the 2nd! #NBAPlayoffs (??: @nbaontnt),33,82,2,1,['#NBAPlayoffs'],"['@jharden13', '@nbaontnt)']"
47,,36389226,4/29/2019,Monday,4,29,21:54,21,8,Video,"@jimmybutler off the dribble, plus the foul, for the @sixers! #NBAPlayoffs (??: @nbaontnt)",32,90,3,1,['#NBAPlayoffs'],"['@jimmybutler', '@sixers!', '@nbaontnt)']"
48,,36367250,4/29/2019,Monday,4,29,19:15,19,7,Video,?? the TOP 3 ASSISTS in the WEST from the opening round of the #NBAPlayoffs! #StateFarmAssists,33,94,0,2,"['#NBAPlayoffs!', '#StateFarmAssists']",[]
49,,36341790,4/28/2019,Sunday,4,28,18:11,18,7,Photo,Congrats to @easymoneysniper of the @warriors for moving up to 11th on the #NBAPlayoffs SCORING list!,33,101,2,1,['#NBAPlayoffs'],"['@easymoneysniper', '@warriors']"
50,,36341790,4/28/2019,Sunday,4,28,16:23,16,6,Video,@easymoneysniper rises up from deep to beat the shot-clock buzzer! #NBAPlayoffs #NBAonABC,30,89,1,2,"['#NBAPlayoffs', '#NBAonABC']",['@easymoneysniper']
51,,36341790,4/28/2019,Sunday,4,28,0:19,0,1,Video,@willthethrillb5 sees an opening in GAME 7! #NBAPlayoffs,29,56,1,1,['#NBAPlayoffs'],['@willthethrillb5']
52,,36317900,4/27/2019,Saturday,4,27,16:00,16,6,Photo,?? @bensimmons & the @sixers open up the Eastern Conference Semis in Toronto (7:30pm/et @nbaontnt)! #NBAPlayoffs,39,112,3,1,['#NBAPlayoffs'],"['@bensimmons', '@sixers', '@nbaontnt)!']"
53,,36317900,4/27/2019,Saturday,4,27,3:06,3,2,Photo,One step closer to the second round of the #NBAPlayoffs!,23,56,0,1,['#NBAPlayoffs!'],[]
54,,36317900,4/27/2019,Saturday,4,27,1:28,1,1,Video,@money23green makes sure to give props to @trezz24 following the @warriors win! #NBAPlayoffs,31,92,3,1,['#NBAPlayoffs'],"['@money23green', '@trezz24', '@warriors']"
55,,36317900,4/26/2019,Friday,4,26,23:59,23,8,Video,@andre takes flight for the @warriors! #NBAPlayoffs,24,51,2,1,['#NBAPlayoffs'],"['@andre', '@warriors!']"
56,,36271116,4/25/2019,Thursday,4,25,1:12,1,1,Photo,Congrats to @stephencurry30 of the @warriors for becoming the first player in @nbahistory to record 400 3PM in the #NBAPlayoffs!,33,128,3,1,['#NBAPlayoffs!'],"['@stephencurry30', '@warriors', '@nbahistory']"
57,,36271116,4/24/2019,Wednesday,4,24,23:04,23,8,Photo,Congrats to @easymoneysniper of the @warriors for moving up to 10th on the #NBAPlayoffs 3PM list!,31,97,2,1,['#NBAPlayoffs'],"['@easymoneysniper', '@warriors']"
58,,36271116,4/24/2019,Wednesday,4,24,23:03,23,8,Photo,Congrats to @easymoneysniper of the @warriors for moving up to 12th on the #NBAPlayoffs SCORING list!,34,101,2,1,['#NBAPlayoffs'],"['@easymoneysniper', '@warriors']"
59,,36271116,4/24/2019,Wednesday,4,24,21:37,21,8,Video,@ccapela15 muscles in for the @houstonrockets SLAM on TNT! #NBAPlayoffs,31,71,2,1,['#NBAPlayoffs'],"['@ccapela15', '@houstonrockets']"
60,,36216008,4/23/2019,Tuesday,4,23,16:33,16,6,Video,"Nikola Jokic sets up his teammates! #NBABreakdown
...
??: @spurs/@nuggets G5
?: 9:30pm/et
??: @nbatv",38,100,3,1,['#NBABreakdown'],"['@spurs/@nuggets', '@nbatv']"
61,,36216008,4/23/2019,Tuesday,4,23,1:22,1,1,Photo,The @utahjazz defeat the @houstonrockets 107-91 in Game 4 at home! #NBAPlayoffs,35,79,2,1,['#NBAPlayoffs'],"['@utahjazz', '@houstonrockets']"
62,,36216008,4/23/2019,Tuesday,4,23,0:53,0,1,Video,Back-to-back triples for @spidadmitchell early in the 4th! #NBAPlayoffs (??: @nbaontnt),32,87,2,1,['#NBAPlayoffs'],"['@spidadmitchell', '@nbaontnt)']"
63,,36216008,4/22/2019,Monday,4,22,21:00,21,8,Video,The dunk & the block... @giannis_an34 is active early on TNT! #NBAPlayoffs,33,74,1,1,['#NBAPlayoffs'],['@giannis_an34']
64,,36192270,4/22/2019,Monday,4,22,10:56,10,4,Album,Itís WIN or GO HOME for the @detroitpistons & @utahjazz as the @bucks & @houstonrockets look to advance! #NBAPlayoffs,38,117,4,1,['#NBAPlayoffs'],"['@detroitpistons', '@utahjazz', '@bucks', '@houstonrockets']"
65,,36167857,4/21/2019,Sunday,4,21,18:36,18,7,Photo,The @warriors take 3-1 series lead over the @laclippers with 113-105 victory in LA! #NBAPlayoffs,33,96,2,1,['#NBAPlayoffs'],"['@warriors', '@laclippers']"
66,,36167857,4/21/2019,Sunday,4,21,15:18,15,6,Video,@stephencurry30 with the fresh legs pregame in LA! #NBAonABC,29,60,1,1,['#NBAonABC'],['@stephencurry30']
67,,36167857,4/20/2019,Saturday,4,20,22:55,22,8,Photo,The @bucks take 3-0 series lead over the @detroitpistons with 119-103 victory in Detroit! #NBAPlayoffs,35,102,2,1,['#NBAPlayoffs'],"['@bucks', '@detroitpistons']"
68,,36144583,4/19/2019,Friday,4,19,23:36,23,8,Video,@damianlillard erupts for 25 points in the 3rd for the @trailblazers on ESPN! #NBAPlayoffs,31,90,2,1,['#NBAPlayoffs'],"['@damianlillard', '@trailblazers']"
69,,36144583,4/19/2019,Friday,4,19,22:39,22,8,Video,@kyrieirving off the dribble to the bucket! #NBAonABC,25,53,1,1,['#NBAonABC'],['@kyrieirving']
70,,36119790,4/19/2019,Friday,4,19,1:29,1,1,Photo,The @warriors take 2-1 series lead over @laclippers with 132-105 victory in LA! #NBAPlayoffs,34,92,2,1,['#NBAPlayoffs'],"['@warriors', '@laclippers']"
71,,36119790,4/18/2019,Thursday,4,18,22:54,22,8,Photo,Congrats to @easymoneysniper of the @warriors for moving up to 14th on the all-time #NBAPlayoffs SCORING list!,35,110,2,1,['#NBAPlayoffs'],"['@easymoneysniper', '@warriors']"
72,,36093770,4/17/2019,Wednesday,4,17,21:42,21,8,Photo,The @celtics take 2-0 series lead over @pacers with 99-91 home W! #NBAPlayoffs,33,78,2,1,['#NBAPlayoffs'],"['@celtics', '@pacers']"
73,,36070358,4/17/2019,Wednesday,4,17,1:51,1,1,Photo,"The @raptors (1-1), @nuggets (1-1) and @trailblazers (2-0) each WIN in Tuesdayís #NBAPlayoffs action!",38,101,3,1,['#NBAPlayoffs'],"['@raptors', '@nuggets', '@trailblazers']"
74,,36070358,4/17/2019,Wednesday,4,17,0:25,0,1,Video,????@damianlillard ??(??: @nbaontnt),16,36,2,0,[],"['@damianlillard', '@nbaontnt)']"
75,,36070358,4/16/2019,Tuesday,4,16,22:58,22,8,Video,@damianlillard splits the defense for the and-one! #NBAPlayoffs (??: @nbaontnt),29,79,2,1,['#NBAPlayoffs'],"['@damianlillard', '@nbaontnt)']"
76,,36047948,4/16/2019,Tuesday,4,16,1:46,1,1,Photo,The @laclippers even their series with the @warriors 1-1 on 135-131 road W! #NBAPlayoffs,31,88,2,1,['#NBAPlayoffs'],"['@laclippers', '@warriors']"
77,,36025758,4/15/2019,Monday,4,15,18:48,18,7,Video,@jimmybutler & the @sixers look to even the series 1-1 with a win tonight (8:00pm/et @nbaontnt)! #NBAPlayoffs,39,109,3,1,['#NBAPlayoffs'],"['@jimmybutler', '@sixers', '@nbaontnt)!']"
78,,36025758,4/15/2019,Monday,4,15,13:32,13,5,Album,"In tonightís @nbaontnt #NBAPlayoffs action, the @brooklynnets & @warriors look to go up 2-0, while the @sixers & @laclippers look to even it up 1-1!",37,148,5,1,['#NBAPlayoffs'],"['@nbaontnt', '@brooklynnets', '@warriors', '@sixers', '@laclippers']"
79,,35999922,4/14/2019,Sunday,4,14,12:44,12,5,Photo,All-Star guards headline @okcthunder/@trailblazers 3:30pm/et #NBAonABC! #NBAPlayoffs,36,84,2,2,"['#NBAonABC!', '#NBAPlayoffs']",['@okcthunder/@trailblazers']
80,,35999922,4/14/2019,Sunday,4,14,10:33,10,4,Video,"? A Magician With The Ball! ?
...
??: @pacers/@celtics
?: 1:00pm/et
??: @nbaontnt ??: #NBAPlayoffs",35,98,3,1,['#NBAPlayoffs'],"['@pacers/@celtics', '@nbaontnt']"
81,,35999922,4/13/2019,Saturday,4,13,23:09,23,8,Photo,The @warriors take 1-0 series lead with 121-104 home victory! #NBAPlayoffs,31,74,1,1,['#NBAPlayoffs'],['@warriors']
82,,35978518,4/13/2019,Saturday,4,13,18:24,18,7,Video,@djaugustin dumps it off the Vooch in transition for the @orlandomagic on ESPN!,26,79,2,0,[],"['@djaugustin', '@orlandomagic']"
83,,35934983,4/11/2019,Thursday,4,11,8:20,8,3,Album,Sixteen seasons of excellence for @dwyanewade! #OneLastDance,23,60,1,1,['#OneLastDance'],['@dwyanewade!']
84,,35934983,4/10/2019,Wednesday,4,10,23:42,23,8,Video,?? @dwyanewade signs off following an illustrious 16-year career! #OneLastDance,27,79,1,1,['#OneLastDance'],['@dwyanewade']
85,,35918453,4/10/2019,Wednesday,4,10,3:59,3,2,Album,?? 41.21.1 ??,6,13,0,0,[],[]
86,,35918453,4/9/2019,Tuesday,4,9,23:08,23,8,Video,@swish41 scores 30 PTS in the @dallasmavs win! ?? 41.21.1,28,57,2,0,[],"['@swish41', '@dallasmavs']"
87,,35918453,4/9/2019,Tuesday,4,9,22:33,22,8,Video,"#WadeCounty, I love you! #OneLastDance",22,38,0,2,"['#WadeCounty,', '#OneLastDance']",[]
88,,35898279,4/9/2019,Tuesday,4,9,13:43,13,5,Photo,"#GLeagueFinals GAMEDAY!
?? Who ya got... the @LongIslandNets, looking to clinch their first title or the @RGVVipers, looking to force a winner-take-all Game 3? #ThisIsYourTime (repost @nbagleague)",47,196,3,2,"['#GLeagueFinals', '#ThisIsYourTime']","['@LongIslandNets,', '@RGVVipers,', '@nbagleague)']"
89,,35878851,4/8/2019,Monday,4,8,0:54,0,1,Album,28 teams hit the floor for an action-packed Sunday!,24,51,0,0,[],[]
90,,35857828,4/7/2019,Sunday,4,7,17:17,17,6,Video,#ThankYouChanning ??@cavs,18,25,1,1,['#ThankYouChanning'],['@cavs']
91,,35857828,4/7/2019,Sunday,4,7,1:50,1,1,Photo,The #NBAPlayoffs Picture through Saturdayís two games!,27,54,0,1,['#NBAPlayoffs'],[]
92,,35834027,4/6/2019,Saturday,4,6,1:54,1,1,Album,?? 24 teams in action for a busy Friday night around the Association!,24,69,0,0,[],[]
93,,35817162,4/4/2019,Thursday,4,4,23:39,23,8,Video,@acfresh21 above it all for the PUTBACK SLAM! (??: @nbaontnt),33,61,2,0,[],"['@acfresh21', '@nbaontnt)']"
94,,35817162,4/4/2019,Thursday,4,4,22:45,22,8,Video,@giannis_an34 comes over for the late swat!,22,43,1,0,[],['@giannis_an34']
95,,35817162,4/4/2019,Thursday,4,4,22:26,22,8,Video,@giannis_an34 inside and @joelembiid outside! (??: @nbaontnt),24,61,3,0,[],"['@giannis_an34', '@joelembiid', '@nbaontnt)']"
96,,35800021,4/3/2019,Wednesday,4,3,23:29,23,8,Video,?? @mbeasy5 ??,10,14,1,0,[],['@mbeasy5']
97,,35782973,4/2/2019,Tuesday,4,2,23:41,23,8,Photo,"@russwest44 (20P/20R/21A) becomes the 2nd player to record a 20/20/20 in @nbahistory, joining Wilt Chamberlain (22P/25R/21A on 2/2/1968)!",40,137,2,0,[],"['@russwest44', '@nbahistory,']"
98,,35782973,4/2/2019,Tuesday,4,2,22:44,22,8,Video,"@russwest44 gets his 20th point, 20th assist and 20th rebound vs. LA! #TripleDoubleAlert",30,88,1,1,['#TripleDoubleAlert'],['@russwest44']
99,,35764878,4/1/2019,Monday,4,1,21:47,21,8,Video,@ahmad_monk punches it in off the @dtaegraham dish!,21,51,2,0,[],"['@ahmad_monk', '@dtaegraham']"
100,,35747486,4/1/2019,Monday,4,1,20:37,20,7,Video,@eddavisxviiís SWAT sparks the @brooklynnets transition!,25,56,2,0,[],"['@eddavisxviiís', '@brooklynnets']"
101,,35747486,4/1/2019,Monday,4,1,12:11,12,5,Album,?? the NBA STAT LEADERS ahead of Week 25ís action! ??,28,53,0,0,[],[]
102,,35727113,3/31/2019,Sunday,3,31,14:15,14,5,Video,Vince Carter steps back to extend the @atlhawks lead!,22,53,1,0,[],['@atlhawks']
103,,35707892,3/29/2019,Friday,3,29,22:07,22,8,Video,@_kw15 and @hornets assistant coach @repyourwork loosen up the handles in LA!,25,77,3,0,[],"['@_kw15', '@hornets', '@repyourwork']"
104,,35707892,3/29/2019,Friday,3,29,20:44,20,7,Video,@houseobayne with the LEFTY SLAM! (??: @nbatv),28,46,2,0,[],"['@houseobayne', '@nbatv)']"
105,,35707892,3/29/2019,Friday,3,29,20:44,20,7,Video,The @warriors move the ball for the @stephencurry30 triple!,25,59,2,0,[],"['@warriors', '@stephencurry30']"
106,,35692163,3/28/2019,Thursday,3,28,22:56,22,8,Video,@balapatís corner triple seals the @spurs W!,19,44,2,0,[],"['@balapatís', '@spurs']"
107,,35692163,3/28/2019,Thursday,3,28,21:13,21,8,Video,@swipathefox ???? to beat the buzzer!,19,37,1,0,[],['@swipathefox']
108,,35670435,3/28/2019,Thursday,3,28,1:34,1,1,Album,The @okcthunder @warriors @utahjazz @trailblazers and @washwizards each WIN Wednesday night!,27,92,5,0,[],"['@okcthunder', '@warriors', '@utahjazz', '@trailblazers', '@washwizards']"
109,,35670435,3/28/2019,Thursday,3,28,0:25,0,1,Video,@dbook with his 50th point late for the @suns!,22,46,2,0,[],"['@dbook', '@suns!']"
110,,35670435,3/27/2019,Wednesday,3,27,22:21,22,8,Video,@ygtrece over the backboard off the contact!,18,44,1,0,[],['@ygtrece']
111,,35644060,3/26/2019,Tuesday,3,26,22:29,22,8,Video,A thankful @chrisbosh wraps up a memorable night! #ThankYouChr1s,28,64,1,1,['#ThankYouChr1s'],['@chrisbosh']
112,,35622137,3/26/2019,Tuesday,3,26,20:23,20,7,Video,@dwyanewade wraps it around to @hassanwhiteside!,17,48,2,0,[],"['@dwyanewade', '@hassanwhiteside!']"
113,,35622137,3/26/2019,Tuesday,3,26,0:43,0,1,Video,@dloading gets into the lane to force double-OT in Portland!,23,60,1,0,[],['@dloading']
114,,35601669,3/25/2019,Monday,3,25,19:27,19,7,Video,@jonisaac_01 punches it home for the @orlandomagic! (??: @nbatv),30,64,3,0,[],"['@jonisaac_01', '@orlandomagic!', '@nbatv)']"
115,,35601669,3/24/2019,Sunday,3,24,20:32,20,7,Video,@jeremylamb1 tosses up the frantic #TissotBuzzerBeater for the @hornets win! #ThisIsYourTime,29,92,2,2,"['#TissotBuzzerBeater', '#ThisIsYourTime']","['@jeremylamb1', '@hornets']"
116,,35581392,3/24/2019,Sunday,3,24,1:09,1,1,Video,@swish41 puts up a season-high 21 for the @dallasmavs in Oakland!,27,65,2,0,[],"['@swish41', '@dallasmavs']"
117,,35581392,3/23/2019,Saturday,3,23,21:33,21,8,Video,The @utahjazz turn defense into offense!,18,40,1,0,[],['@utahjazz']
118,,35561416,3/22/2019,Friday,3,22,22:26,22,8,Video,@jharden13 scores 10 straight to close out @houstonrockets W and tie career-high 61!,25,84,2,0,[],"['@jharden13', '@houstonrockets']"
119,,35561416,3/22/2019,Friday,3,22,21:58,21,8,Photo,@russwest44 notches his 28th triple-double of the season for the @okcthunder with 18p/13a/12r! #TripleDoubleAlert,32,113,2,1,['#TripleDoubleAlert'],"['@russwest44', '@okcthunder']"
120,,35541838,3/22/2019,Friday,3,22,0:15,0,1,Video,@stephencurry30 knows itís good!,22,32,1,0,[],['@stephencurry30']
121,,35541838,3/21/2019,Thursday,3,21,23:16,23,8,Video,@swipathefox shows out on the break!,19,36,1,0,[],['@swipathefox']
122,,35541838,3/21/2019,Thursday,3,21,21:11,21,8,Video,@spidadmitchell with a pair of transition slams in Atlanta!,20,59,1,0,[],['@spidadmitchell']
123,,35523565,3/20/2019,Wednesday,3,20,23:18,23,8,Photo,Another one... @jharden13 puts up 57 for the @houstonrockets in Memphis!,27,72,2,0,[],"['@jharden13', '@houstonrockets']"
124,,35523565,3/20/2019,Wednesday,3,20,20:52,20,7,Video,Coach Pop x @dwyanewade! #OneLastDance,22,38,1,1,['#OneLastDance'],['@dwyanewade!']
125,,35501835,3/20/2019,Wednesday,3,20,0:39,0,1,Video,@dloading scores 27 of his career-high 44 PTS in the 4th quarter to lead the @brooklynnets comeback!,30,100,2,0,[],"['@dloading', '@brooklynnets']"
126,,35501835,3/20/2019,Wednesday,3,20,0:17,0,1,Video,?? @mb3five putback! ??,17,23,1,0,[],['@mb3five']
127,,35476286,3/18/2019,Monday,3,18,21:33,21,8,Video,???? Congrats @swish41!! #PhantomCam,20,36,1,1,['#PhantomCam'],['@swish41!!']
128,,35454842,3/18/2019,Monday,3,18,19:17,19,7,Video,Put some arc on it!,14,19,0,0,[],[]
129,,35454842,3/18/2019,Monday,3,18,0:22,0,1,Album,16 teams in action... eight winners Sunday!,22,43,0,0,[],[]
130,,35454842,3/17/2019,Sunday,3,17,23:41,23,8,Video,@louwillville drills the #TissotBuzzerBeater for the @laclippers win! #ThisIsYourTime,27,85,2,2,"['#TissotBuzzerBeater', '#ThisIsYourTime']","['@louwillville', '@laclippers']"
131,,35438921,3/16/2019,Saturday,3,16,22:05,22,8,Video,@spidadmitchell ?? @ruuufio ?? @rudygobert27 ??,23,47,3,0,[],"['@spidadmitchell', '@ruuufio', '@rudygobert27']"
132,,35413065,3/15/2019,Friday,3,15,22:29,22,8,Video,What a pass by @giannis_an34!,17,29,1,0,[],['@giannis_an34!']
133,,35413065,3/15/2019,Friday,3,15,21:45,21,8,Video,@iamjustise climbs the ladder!!,17,31,1,0,[],['@iamjustise']
