,Engagements,Followers at Posting,Date,Day of Week,Day,Month,Time,Hour,Hour_bucket,Type,Description,unique_word_count,character_count,Tag_Number,Hashtag_Number,Tags,Hashtags
25,590945,36928789,5/20/2019,1,20,5,12:05,12,5,Video,"@money23green showcases his ?? IQ on both ends of the floor! #NBABreakdown
...
??: @warriors x @trailblazers G4
?: 9:00pm/et ??: @nbaonespn",38,139,4,1,"['@money23green', '@warriors', '@trailblazers', '@nbaonespn']",['#NBABreakdown']
26,354472,36928789,5/20/2019,1,20,5,10:07,10,4,Photo,It's WIN or Go Home for the @trailblazers... as the @warriors look to advance... 9:00pm/et @nbaonespn!,39,102,3,0,"['@trailblazers...', '@warriors', '@nbaonespn!']",[]
27,412221,36928789,5/20/2019,1,20,5,0:45,0,1,Photo,The @raptors get on the board at home in the Eastern Conference Finals!,27,71,1,0,['@raptors'],[]
28,646075,36928789,5/19/2019,0,19,5,23:09,23,8,Video,Kawhi on tonight's gritty @raptors 2OT win with @kristenledlow!,29,63,2,0,"['@raptors', '@kristenledlow!']",[]
29,708249,36928789,5/19/2019,0,19,5,22:49,22,8,Video,Kawhi Leonard scores 19 of his game-high 36 in the 4th & OT periods to power the @raptors in Game 3 of the ECF!,16,111,1,0,['@raptors'],[]
30,708249,36928789,5/19/2019,0,19,5,22:40,22,8,Video,The @raptors take Game 3 of the Eastern Conference Finals in exciting fashion!,38,78,1,0,['@raptors'],[]
31,366002,36928789,5/19/2019,0,19,5,22:19,22,8,Photo,The @raptors (1-2) defeat the @bucks 118-112 in double-OT at home in Game 3 of the Eastern Conference Finals! #NBAPlayoffs,34,122,2,1,"['@raptors', '@bucks']",['#NBAPlayoffs']
32,843345,36928789,5/19/2019,0,19,5,22:00,22,8,Video,?? KAWHI! ??,34,12,0,0,[],[]
33,589358,36928789,5/19/2019,0,19,5,21:34,21,8,Video,@k_mid22ís second chance sends @bucks/@raptors to OT on TNT!,27,60,3,0,"['@k_mid22ís', '@bucks/@raptors']",[]
34,646075,36928789,5/19/2019,0,19,5,21:26,21,8,Video,?? @reggiemillertnt predicts the @fredvanvleet triple! ??,28,57,2,0,"['@reggiemillertnt', '@fredvanvleet']",[]
35,443147,36928789,5/19/2019,0,19,5,20:43,20,7,Photo,Offense or Defense?,35,19,0,0,[],[]
36,843345,36928789,5/19/2019,0,19,5,20:37,20,7,Video,???? Suction Cups! ????,27,23,0,0,[],[]
37,686948,36928789,5/19/2019,0,19,5,20:35,20,7,Video,@pskills43 muscles his way through the lane in Game 3! #NBAPlayoffs (??: @nbaontnt),36,83,2,1,"['@pskills43', '@nbaontnt)']",['#NBAPlayoffs']
38,708249,36928789,5/19/2019,0,19,5,20:09,20,7,Video,Kawhi Leonard steps back the @raptors triple on TNT!,30,52,1,0,['@raptors'],[]
39,646086,36899744,5/19/2019,0,19,5,19:26,19,7,Video,@marcgasol droppiní dimes early on TNT for the @raptors!,33,56,2,0,"['@marcgasol', '@raptors!']",[]
40,591423,36899744,5/19/2019,0,19,5,14:14,14,5,Video,"?? BROOK LOPEZ MICíD UP! ??
...
??: @bucks x @raptors G3
?: 7pm/et ??: @nbaontnt",31,80,3,0,"['@bucks', '@raptors', '@nbaontnt']",[]
41,554182,36899744,5/19/2019,0,19,5,11:43,11,4,Video,Superstars on both sides... the Eastern Conference Finals between the @bucks & @raptors continues 7:00pm/et @nbaontnt!,40,118,3,0,"['@bucks', '@raptors', '@nbaontnt!']",[]
42,367570,36899744,5/19/2019,0,19,5,9:07,9,4,Photo,"The Eastern Conference Finals heads up to Toronto for Game 3, 7:00pm/et @nbaontnt!",34,82,1,0,['@nbaontnt!'],[]
43,436512,36899744,5/19/2019,0,19,5,1:24,1,1,Photo,The @warriors sit one win away from the #NBAFinals presented by @youtube TV with 3-0 Western Conference Finals lead.,23,116,2,1,"['@warriors', '@youtube']",['#NBAFinals']
44,815419,36899744,5/19/2019,0,19,5,0:14,0,1,Video,@stephencurry30 puts up 36 to lead the @warriors in Game 3 victory!,34,67,2,0,"['@stephencurry30', '@warriors']",[]
45,436512,36899744,5/19/2019,0,19,5,0:09,0,1,Album,@money23green puts up 20p/13r/12a in the @warriors Game 3 victory!,24,66,2,0,"['@money23green', '@warriors']",[]
46,505848,36899744,5/18/2019,6,18,5,23:57,23,8,Photo,The @warriors take 3-0 Western Conference Finals lead with 110-99 victory in Portland!,33,86,1,0,['@warriors'],[]
47,762187,36899744,5/18/2019,6,18,5,23:36,23,8,Video,@stephencurry30 with the shake & triple!,32,40,1,0,['@stephencurry30'],[]
48,775600,36899744,5/18/2019,6,18,5,23:31,23,8,Video,@money23green powers his pregame warmup with the #PowerbeatsPro ?? for a big performance in Portland!,33,101,1,1,['@money23green'],['#PowerbeatsPro']
49,459715,36899744,5/18/2019,6,18,5,23:18,23,8,Photo,@money23green secures his 3rd triple-double of the 2019 #NBAPlayoffs for the @warriors with 18/11/11 through three quarters! #TripleDoubleAlert,33,143,2,2,"['@money23green', '@warriors']","['#NBAPlayoffs', '#TripleDoubleAlert']"
50,810406,36899744,5/18/2019,6,18,5,22:53,22,8,Video,"@stephencurry30 from deep, plus the foul! #NBAPlayoffs (??: ESPN)",30,65,1,1,['@stephencurry30'],['#NBAPlayoffs']
51,686960,36899744,5/18/2019,6,18,5,22:43,22,8,Video,@meyersleonard11 gets the @trailblazers crowd UP! #NBAPlayoffs (??: ESPN),29,73,2,1,"['@meyersleonard11', '@trailblazers']",['#NBAPlayoffs']
52,626655,36899744,5/18/2019,6,18,5,22:06,22,8,Video,@zachcollins_33 finds @eneskanter11 in the paint for the @trailblazers! #NBAPlayoffs (??: ESPN),39,95,3,1,"['@zachcollins_33', '@eneskanter11', '@trailblazers!']",['#NBAPlayoffs']
53,747095,36872342,5/18/2019,6,18,5,17:08,17,6,Video,"The @warriors & @trailblazers get to their spots for three! #NBABreakdown
...
??: WCF Game 3
?: 9:00pm/et
??: ESPN",23,114,2,1,"['@warriors', '@trailblazers']",['#NBABreakdown']
54,577007,36872342,5/18/2019,6,18,5,14:34,14,5,Video,"In @budweiserusa #LegendaryMoments history.. we showcase Rick Barryís 55-point performance in Game 3 of the 1967 #NBAFinals for the @warriors! ...Who do you have in Game 3, @warriors or @trailblazers?",31,200,4,2,"['@budweiserusa', '@warriors!', '@warriors', '@trailblazers?']","['#LegendaryMoments', '#NBAFinals']"
55,359722,36872342,5/18/2019,6,18,5,11:11,11,4,Album,"From playing in the @nbagleague to facing his brother in the Western Conference Finals, itís been QUITE the journey for @sdotcurry!",24,131,2,0,"['@nbagleague', '@sdotcurry!']",[]
56,435542,36872342,5/18/2019,6,18,5,9:32,9,4,Photo,"The Western Conference Finals heads up to Portland for Game 3, 9:00pm/et on ESPN!",33,81,0,0,[],[]
57,470061,36872342,5/18/2019,6,18,5,0:00,0,1,Photo,The @bucks join the @warriors with 2-0 Conference leads! #NBAPlayoffs,31,69,2,1,"['@bucks', '@warriors']",['#NBAPlayoffs']
58,603424,36872342,5/17/2019,5,17,5,23:17,23,8,Video,@giannis_an34 powers the @bucks to 2-0 ECF lead with 30 points & 17 boards!,34,75,2,0,"['@giannis_an34', '@bucks']",[]
59,647517,36872342,5/17/2019,5,17,5,22:47,22,8,Video,@giannis_an34 muscles into the lane for the and-one! #NBAPlayoffs,31,65,1,1,['@giannis_an34'],['#NBAPlayoffs']
60,661494,36872342,5/17/2019,5,17,5,20:57,20,7,Video,@giannis_an34 STRETCHES for the SLAM on TNT!,38,44,1,0,['@giannis_an34'],[]
61,661494,36872342,5/17/2019,5,17,5,20:43,20,7,Video,@giannis_an34 with the SLAM & SWAT to open Game 2 of the Eastern Conference Finals on TNT!,35,90,1,0,['@giannis_an34'],[]
62,465482,36846041,5/17/2019,5,17,5,20:14,20,7,Album,?????? Presenting the finalists for the six awards that honor the top performers from the 2018-19 regular season at the 2019 #NBAAwards (9:00pm/et June 24th @nbaontnt)!,32,168,1,1,['@nbaontnt)!'],['#NBAAwards']
63,608357,36846041,5/17/2019,5,17,5,19:28,19,7,Video,"Ahead of Game 2 of the Eastern Conference Finals (8:30pm/et @nbaontnt), we flash back to Kawhi at the #NBACombine (repost @nbahistory)!",33,135,2,1,"['@nbaontnt),', '@nbahistory)!']",['#NBACombine']
64,507998,36846041,5/17/2019,5,17,5,17:13,17,6,Video,"?? @giannis_an34ís clutch 4th Q in Game 1 of the ECF! #NBABreakdown
...
??: @raptors/@bucks G2
?: 8:30pm/et
??: @nbaontnt",38,121,4,1,"['@giannis_an34ís', '@raptors/@bucks', '@nbaontnt']",['#NBABreakdown']
65,471492,36846041,5/17/2019,5,17,5,14:22,14,5,Video,"Our peeps @spiceadams, @tristanj22, @jesser & @iamkrislondon of the #NBAPlaymakers test their skills at the #NBACombine powered by Under Armour! ....coverage continues 3:00pm/et ESPN2",33,183,4,2,"['@spiceadams,', '@tristanj22,', '@jesser', '@iamkrislondon']","['#NBAPlaymakers', '#NBACombine']"
66,297294,36846041,5/17/2019,5,17,5,10:29,10,4,Photo,"Will the @raptors even the ECF up 1-1, or will the @bucks go up 2-0... 8:30pm/et @nbaontnt!",29,91,3,0,"['@raptors', '@bucks', '@nbaontnt!']",[]
67,470368,36846041,5/17/2019,5,17,5,1:48,1,1,Photo,The @warriors take 2-0 series lead in the Western Conference Finals!,35,68,1,0,['@warriors'],[]
68,608834,36846041,5/17/2019,5,17,5,1:04,1,1,Video,@andre with the big defensive stop for the @warriors! #PhantomCam,31,65,2,1,"['@andre', '@warriors!']",['#PhantomCam']
69,775812,36846041,5/17/2019,5,17,5,0:09,0,1,Video,The @warriors close out on 14-3 run to win Game 2 of the Western Conference Finals!,25,83,1,0,['@warriors'],[]
70,652240,36846041,5/17/2019,5,17,5,0:04,0,1,Video,ìWeíll have the film clip at home...î @stephencurry30 on playing his brother @sdotcurry! #NBAPlayoffs,34,101,2,1,"['@stephencurry30', '@sdotcurry!']",['#NBAPlayoffs']
71,427470,36846041,5/17/2019,5,17,5,0:00,0,1,Photo,The @warriors take 2-0 WCF lead over @trailblazers with 114-111 home W!,35,71,2,0,"['@warriors', '@trailblazers']",[]
72,675140,36846041,5/16/2019,4,16,5,23:44,23,8,Video,@andreís defense seals the @warriors Game 2 victory! #NBAPlayoffs,33,65,2,1,"['@andreís', '@warriors']",['#NBAPlayoffs']
73,538831,36846041,5/16/2019,4,16,5,23:37,23,8,Video,@sdotcurry triple & @money23green to @flyght5 lob late in Game 2! #NBAPlayoffs,38,78,3,1,"['@sdotcurry', '@money23green', '@flyght5']",['#NBAPlayoffs']
74,661506,36846041,5/16/2019,4,16,5,23:21,23,8,Video,What a play by @damianlillard!!,16,31,1,0,['@damianlillard!!'],[]
75,597919,36846041,5/16/2019,4,16,5,23:14,23,8,Video,@damianlillard finds the cutting @meyersleonard11 for the @trailblazers ?? on ESPN!,29,83,3,0,"['@damianlillard', '@meyersleonard11', '@trailblazers']",[]
76,647529,36846041,5/16/2019,4,16,5,22:44,22,8,Video,The @trailblazers sink franchise #NBAPlayoffs high for a half with 11 made threes in the first-half on ESPN!,31,108,1,1,['@trailblazers'],['#NBAPlayoffs']
77,655460,36846041,5/16/2019,4,16,5,21:57,21,8,Video,@jonasjerebko gets flashy to @jbell! (??: ESPN),39,47,2,0,"['@jonasjerebko', '@jbell!']",[]
78,689726,36817926,5/16/2019,4,16,5,19:28,19,7,Video,The @warriors & @trailblazers arrive for Game 2 of the Western Conference Finals on ESPN!,37,89,2,0,"['@warriors', '@trailblazers']",[]
79,420467,36817926,5/16/2019,4,16,5,18:31,18,7,Album,?? Only 2 weeks left until the #NBAFinals presented by @youtube TV!,36,67,1,1,['@youtube'],['#NBAFinals']
80,580642,36817926,5/16/2019,4,16,5,14:59,14,5,Video,"@money23green tosses it to @andre! #NBABreakdown
...
??: @trailblazers/@warriors G2
?: 9:00pm/et
??: ESPN",35,105,4,1,"['@money23green', '@andre!', '@trailblazers/@warriors']",['#NBABreakdown']
81,674842,36817926,5/16/2019,4,16,5,12:27,12,5,Video,"Before the #NBACombine powered by Under Armour gets underway (3:00pm/et ESPN2), we throw it back to @stephencurry30 in 2009!",31,124,1,1,['@stephencurry30'],['#NBACombine']
82,368291,36817926,5/16/2019,4,16,5,10:35,10,4,Photo,"Will the @trailblazers even the WCF up 1-1, or will the @warriors go up 2-0... 9:00pm/et @nbaonespn!",26,100,3,0,"['@trailblazers', '@warriors', '@nbaonespn!']",[]
83,454003,36817926,5/16/2019,4,16,5,0:32,0,1,Photo,The @bucks join @warriors with 1-0 Conference Finals lead! #NBAPlayoffs,23,71,2,1,"['@bucks', '@warriors']",['#NBAPlayoffs']
84,661518,36817926,5/15/2019,3,15,5,23:17,23,8,Video,Brook Lopez puts up 29 points & adds 4 blocks in the @bucks ECF Game 1 W!,27,73,1,0,['@bucks'],[]
85,350706,36817926,5/15/2019,3,15,5,23:03,23,8,Photo,The @bucks take 1-0 ECF series lead over @raptors with 108-100 victory at home! #NBAPlayoffs,6,92,2,1,"['@bucks', '@raptors']",['#NBAPlayoffs']
86,661518,36817926,5/15/2019,3,15,5,23:00,23,8,Video,Brook Lopez with the BIG SLAM & TRIPLE late for the @bucks!,28,59,1,0,['@bucks!'],[]
87,661518,36817926,5/15/2019,3,15,5,21:58,21,8,Video,@thebledshow with a pair of TOUGH finishes on TNT!,22,50,1,0,['@thebledshow'],[]
88,725178,36817926,5/15/2019,3,15,5,21:54,21,8,Video,Shooterís touch!,47,16,0,0,[],[]
89,569098,36817926,5/15/2019,3,15,5,21:43,21,8,Video,@pskills43 on the attack! #PhantomCam,24,37,1,1,['@pskills43'],['#PhantomCam']
90,661518,36817926,5/15/2019,3,15,5,21:39,21,8,Video,The @raptors find Kawhi in the lane to close the half on TNT!,18,61,1,0,['@raptors'],[]
91,597930,36817926,5/15/2019,3,15,5,21:01,21,8,Video,@pskills43 RISES UP for the @raptors! (??: @nbaontnt),27,53,3,0,"['@pskills43', '@raptors!', '@nbaontnt)']",[]
92,647540,36817926,5/15/2019,3,15,5,20:45,20,7,Video,@giannis_an34 is out running early on TNT! #NBAPlayoffs,24,55,1,1,['@giannis_an34'],['#NBAPlayoffs']
93,675423,36784913,5/15/2019,3,15,5,18:41,18,7,Video,We check in with the #MtnDew3PT leaders of the Conference Semis!,33,64,0,1,[],['#MtnDew3PT']
94,390471,36784913,5/15/2019,3,15,5,18:05,18,7,Photo,"During the Eastern Conference Semifinals, Kawhi Leonard scored the 3rd-most total points in a series since 1977! ... ??: ECF GAME 1 ?: 8:30pm/et ??: @nbaontnt",22,158,1,0,['@nbaontnt'],[]
95,680212,36784913,5/15/2019,3,15,5,17:05,17,6,Video,"The #NBABreakdown stats on Kawhiís incredible #TissotBuzzerBeater! #ThisIsYourTime ...
??: ECF GAME 1
?: 8:30pm/et
??: @nbaontnt",24,128,1,3,['@nbaontnt'],"['#NBABreakdown', '#TissotBuzzerBeater!', '#ThisIsYourTime']"
96,304208,36784913,5/15/2019,3,15,5,15:05,15,6,Photo,Larry Bird & @magicjohnson will be co-recipients of the Lifetime Achievement Award at the 2019 #NBAAwards presented by Kia (9:00pm/et 6/24 @nbaontnt)!,10,150,2,1,"['@magicjohnson', '@nbaontnt)!']",['#NBAAwards']
97,463910,36784913,5/15/2019,3,15,5,13:18,13,5,Video,"Both selected 15th overall, Kawhi Leonard & @giannis_an34 headline the @raptors/@bucks Eastern Conference Finals (8:30pm/et @nbaontnt)!",40,135,4,0,"['@giannis_an34', '@raptors/@bucks', '@nbaontnt)!']",[]
98,290887,36784913,5/15/2019,3,15,5,11:22,11,4,Photo,The Eastern Conference Finals between the @raptors & @bucks tips off TONIGHT... 8:30pm/et @nbaontnt!,30,100,3,0,"['@raptors', '@bucks', '@nbaontnt!']",[]
99,460231,36784913,5/15/2019,3,15,5,0:52,0,1,Photo,The @warriors open up the Western Conference Finals with a home victory for 1-0 series lead!,21,92,1,0,['@warriors'],[]
100,433009,36784913,5/14/2019,2,14,5,23:44,23,8,Photo,The @warriors take 1-0 WCF series lead over @trailblazers with 116-94 victory at home! #NBAPlayoffs,25,99,2,1,"['@warriors', '@trailblazers']",['#NBAPlayoffs']
101,773272,36784913,5/14/2019,2,14,5,23:18,23,8,Video,@stephencurry30 goes high off the glass to his familyís delight! (??: ESPN),28,75,1,0,['@stephencurry30'],[]
102,711896,36784913,5/14/2019,2,14,5,22:54,22,8,Video,@stephencurry30 steps into his 8th triple of the night on ESPN!,22,63,1,0,['@stephencurry30'],[]
103,711896,36784913,5/14/2019,2,14,5,22:26,22,8,Video,@stephencurry30 puts up back-to-back triples to end the half on ESPN!,25,69,1,0,['@stephencurry30'],[]
104,668994,36784913,5/14/2019,2,14,5,21:54,21,8,Video,@andre finds @jonasjerebko in transition for the @warriors! #NBAPlayoffs (??: ESPN),28,83,3,1,"['@andre', '@jonasjerebko', '@warriors!']",['#NBAPlayoffs']
105,449479,36784913,5/14/2019,2,14,5,21:28,21,8,Photo,Dell & Sonya Curry arrive for tonightís Western Conference Finals opener!,25,73,0,0,[],[]
106,590706,36784913,5/14/2019,2,14,5,21:19,21,8,Video,@damianlillard steps back early for the @trailblazers on ESPN! #NBAPlayoffs,19,75,2,1,"['@damianlillard', '@trailblazers']",['#NBAPlayoffs']
107,449479,36784913,5/14/2019,2,14,5,21:09,21,8,Photo,The 2019 #NBADraftLottery order is set.,19,39,0,1,[],['#NBADraftLottery']
108,666938,36756045,5/14/2019,2,14,5,19:35,19,7,Video,@meyersleonard11 in the ìBright Citronî Nike LeBron 16 HFR! #NBAKicks,27,69,1,1,['@meyersleonard11'],['#NBAKicks']
109,675435,36756045,5/14/2019,2,14,5,14:17,14,5,Video,Who had your fave ASSIST from the Western Conference Semis? #StateFarmAssists,22,77,0,1,[],['#StateFarmAssists']
110,375610,36756045,5/14/2019,2,14,5,12:32,12,5,Photo,The Western Conference Finals between the @trailblazers & @warriors tips off TONIGHT... 9:00pm/et on ESPN!,18,106,2,0,"['@trailblazers', '@warriors']",[]
111,410237,36756045,5/14/2019,2,14,5,9:30,9,4,Photo,Watch the 2019 #NBADraftLottery Presented by State Farm tonight on ESPN at 8:30pm/et.,28,85,0,1,[],['#NBADraftLottery']
112,426732,36756045,5/13/2019,1,13,5,21:18,21,8,Album,"For the first time in @nbahistory, brothers will meet in the Conference Finals as @stephencurry30 & the @warriors face @sdotcurry & the @trailblazers!",17,150,5,0,"['@nbahistory,', '@stephencurry30', '@warriors', '@sdotcurry', '@trailblazers!']",[]
113,602840,36716811,5/13/2019,1,13,5,19:01,19,7,Video,Kenny Wooten (@kenny) shows off his athleticism and gets up to 150.5 inches at the Max Jump! ?? #EliteCamp @oregonmbb (repost @nbagleague),23,138,3,1,"['@kenny)', '@oregonmbb', '@nbagleague)']",['#EliteCamp']
114,384270,36716811,5/13/2019,1,13,5,12:58,12,5,Photo,Four remain in the 2019 #NBAPlayoffs!,30,37,0,1,[],['#NBAPlayoffs!']
115,297205,36716811,5/13/2019,1,13,5,9:31,9,4,Album,?? all the angles of Kawhi Leonardís incredible #TissotBuzzerBeater for the @raptors win! #ThisIsYourTime,29,105,1,2,['@raptors'],"['#TissotBuzzerBeater', '#ThisIsYourTime']"
116,352101,36716811,5/12/2019,0,12,5,23:54,23,8,Photo,The @warriors @trailblazers @bucks & @raptors advance to the Conference Finals!,27,79,4,0,"['@warriors', '@trailblazers', '@bucks', '@raptors']",[]
117,789225,36716811,5/12/2019,0,12,5,22:02,22,8,Video,The friendly bounce up North! #TissotBuzzerBeater #ThisIsYourTime,18,65,0,2,[],"['#TissotBuzzerBeater', '#ThisIsYourTime']"
118,365493,36716811,5/12/2019,0,12,5,21:51,21,8,Photo,The @raptors defeat the @sixers 92-90 in GAME 7 to advance to the Eastern Conference Finals!,25,92,2,0,"['@raptors', '@sixers']",[]
119,719941,36716811,5/12/2019,0,12,5,21:39,21,8,Video,Kawhi gets the friendly bounce with the #TissotBuzzerBeater for the @raptors win to advance to the ECF! #ThisIsYourTime,32,119,1,2,['@raptors'],"['#TissotBuzzerBeater', '#ThisIsYourTime']"
120,402171,36716811,5/12/2019,0,12,5,21:37,21,8,Photo,The @raptors advance to the Eastern Conference Finals!,22,54,1,0,['@raptors'],[]
121,640251,36716811,5/12/2019,0,12,5,20:37,20,7,Video,@bensimmons spins to set up @joelembiid! (??: @nbaontnt),19,56,3,0,"['@bensimmons', '@joelembiid!', '@nbaontnt)']",[]
122,668021,36716811,5/12/2019,0,12,5,20:33,20,7,Video,Poetry in Motion! #PhantomCam,20,29,0,1,[],['#PhantomCam']
123,769422,36686842,5/12/2019,0,12,5,20:09,20,7,Video,"Kawhi goes up on the right, finishes under the left!! (??: @nbaontnt)",27,69,1,0,['@nbaontnt)'],[]
124,693385,36686842,5/12/2019,0,12,5,19:48,19,7,Video,Kawhi with the STEAL & SLAM for the @raptors on TNT! #NBAPlayoffs,22,65,1,1,['@raptors'],['#NBAPlayoffs']
125,646168,36686842,5/12/2019,0,12,5,19:25,19,7,Video,@3jmccollum puts up 37 to lead the @trailblazers in road GAME 7 victory to advance to the WCF!,30,94,2,0,"['@3jmccollum', '@trailblazers']",[]
126,365421,36686842,5/12/2019,0,12,5,19:06,19,7,Photo,The @trailblazers defeat the @nuggets 100-96 in GAME 7 to advance to the Western Conference Finals!,17,99,2,0,"['@trailblazers', '@nuggets']",[]
127,654401,36686842,5/12/2019,0,12,5,18:39,18,7,Video,The best action down the stretch as the @trailblazers win GAME 7 on the road to advance to the WCF!,20,99,1,0,['@trailblazers'],[]
128,654401,36686842,5/12/2019,0,12,5,18:37,18,7,Video,@damianlillard with a Motherís Day hug for mom following the GAME 7 WIN!,14,72,1,0,['@damianlillard'],[]
129,402092,36686842,5/12/2019,0,12,5,18:13,18,7,Photo,The @trailblazers advance to the Western Conference Finals! #NBAPlayoffs,22,72,1,1,['@trailblazers'],['#NBAPlayoffs']
130,633797,36686842,5/12/2019,0,12,5,18:02,18,7,Video,@3jmccollum hustles back for the CHASEDOWN! #NBAonABC,27,53,1,1,['@3jmccollum'],['#NBAonABC']
131,591498,36686842,5/12/2019,0,12,5,17:36,17,6,Video,?? how the @sixers & @raptors got to GAME 7 (7:00pm/et @nbaontnt)!,23,66,3,0,"['@sixers', '@raptors', '@nbaontnt)!']",[]
132,633797,36686842,5/12/2019,0,12,5,17:24,17,6,Video,"@thats_g_ gets it to fall, plus the foul! #NBAonABC",17,51,1,1,['@thats_g_'],['#NBAonABC']
